1	하나
going straight	직진
gold	금
gold medal	금메달
golf	골프
good	좋다
go out	외출하다
go out, get out	나가다
go to visit	찾아가다
go to work	출근하다
go up	올라가다
gourd	바가지
government	정부
grace, blessing	혜택
grade, credit	학점
grade report card	성적표
grades	성적
grade, school year	학년
gradually	점차
gradually	서서히
gradually, slowly	점점
graduate	졸업하다
graduate school	대학원
graduation	졸업
graduation ceremony	졸업식
gram	그램
grammar	문법
grandfather	할아버지
grandmother	할머니
grandson	손자
grape	포도
graph	그래프
grass	잔디
grass field	잔디밭
greatly	대단히
greed	욕심
greedy person	욕심쟁이
green	녹색
green color	초록색
green tea	녹차
greet	인사하다
greeting	맞이
greetings	인사
greeting words	인사말
grey	회색
grill	구이
grilled pork belly	삼겹살
grocery	식료품
groom	신랑
groom candidate	신랑감
group	그룹
group	단체
group dinner, drinking party	회식
growth, rise	증가
guess	추측
guest room	객실
guidebook, handbook	안내서
guide, invite	안내하다
gun	총
guy	놈
Gyeongbokgung	경복궁
Gyeongju	경주
gym	체육관
gymnastics	체조
habit	습관
habit, manner	버릇
hair	머리카락
(hair) bangs	앞머리
hairstyle	헤어스타일
half	절반
half a year	반년
half, group	반
half-moon	반달
hamburger	햄버거
Hanbok, Korean traditional clothes	한복
hand	손
handbag	핸드백
handkerchief	손수건
handle, rail	손잡이
hands and legs	손발
handshake	악수
handsome	잘생기다
Hangul	한글
Hangul day	한글날
Hanok (traditional Korean architecture)	한옥
Han River, Hangang	한강
happiness	행복
happy	기쁘다
happy	행복하다
hard, enthusiastic	열심히
hardship	고생
hardship, hard work	수고
hat	모자
hate	싫다
have	갖다
have	가지다
have a sale	세일하다
have fun	즐거워하다
have, there	있다
headache	두통
headache pill/medicine	두통약
head, hair	머리
head, hill	고개
health	건강
healthy diet	건강식
healthy food	건강식품
heart	심장
heart disease	심장병
heater	난방
heat, hotness	더위
heaven	천국
heavy	무겁다
heavy rain	폭우
heavy snow	폭설
hectically, frantically	정신없이
height	높이
hell	지옥
hello	여보세요
hello	안녕하십니까
helmet	헬멧
help	돕다
help	도와주다
help, assistance	도움
hence	그러므로
here	여기
here and there	여기저기
here and there	이리저리
here and there, everywhere	곳곳
hierarchy	계층
high	높다
high grade	고급
highlights/fun things to see	볼거리
high school	고등학교
high school girl	여고생
high school student	고등학생
high speed	고속
highway	고속도로
hi, hello	안녕하세요
hiking boots, climbing shoes	등산화
hiking, mountain-climbing	등산
his, the person	그분
historic site	유적지
history	역사
hobby	취미
hold, enter	들다
hole	구멍
holiday	휴일
holidays, annual events	명절
holiday season	휴가철
home appliances	가전제품
home page	홈페이지
homeroom teacher	담임
hometown	고향
homework	숙제
honestly, frankly	솔직히
honey	꿀
honey bee	꿀벌
honeycomb	벌집
honeymoon	신혼여행
honorifics	높임말
honor prize	우등상
hope	소망
hope	희망
hope	바라다
hospital	병원
hospitality	대접
hospitalize	입원하다
hosting (an event)	개최
hot	덥다
hot	뜨겁다
hotel	호텔
hotel, inn	여관
hot spring	온천
hot spring bath	온천욕
hot water	더운물
house	댁
housecleaning	대청소
household account book	가계부
house price	집값
house, shop	집
housewarming party	집들이
housewife	주부
housework	가사
housework	집안일
housing, residence	주택
how	어떻게
how	어떻다
How is it?	어떻습니까?
how much	얼마나
how on earth	도대체
(how to count trees), stump	그루
how to use	사용법
human	인간
human nature	인간성
human race	인류
humid heat	찜통더위
humidifier	가습기
humidity	습도
humility	겸손
humming	콧노래
humor	유머
hungry	고프다
hungry	배고프다
hurry, quickly	어서
hurry, urgent	급하다
hurt	다치다
husband	남편
I	나
I	내가
I	제가
ice	얼음
ice cream	아이스크림
idea	아이디어
identification document	신분증
identity	정체
idiom	관용어
idiot, stupid	바보
I do not know., well, I guess ~	글쎄요
I don't know.	모르겠습니다
if, should	만일
illegal	불법
illness, ~ bottle(s)	병
image	이미지
imagination	상상
imagination	상상력
immediately after	직후
immediately, for now	당장
immediately, soon, just	바로
immigrants	이민
immigration	출입국
impact	영향
implementation	실시
importance	중요
importance	중요성
important	중요하다
important matter	큰일
import, income	수입
impossibility	불가능
impression	인상
improvement	개선
I'm sorry.	미안합니다
in addition, again	또
in advance, beforehand	미리
Incheon	인천
incident	사건
income	소득
inconvenience	불편
independence	독립
in detail	자세히
India	인도
indifference	무관심
individual	개인
individuality	개성
indoor	실내
indoor floor	마루
industry	산업
in fact, actually	실은
in fact, actually	실제
in fact, actually	실제로
influenza, flu	독감
inform	알리다
information	정보
information office	안내소
informatization	정보화
in full bloom	활짝
injection	주사
injured person	부상자
injury	부상
inquiry	문의
insanely, do something without any order	막
inside	속
inside	안쪽
inside, internal	내부
insomnia	불면증
inspection	검사
installment savings	적금
instant food	인스턴트
in substitute	대신
insurance	보험
insurance fee	보험료
insurance money	보험금
intercity bus	시외버스
interest	이자
interest	흥미
interesting	재미있다
interference, interruption	방해
intermediate	중급
intern	인턴사원
internal medicine	내과
international	국제
international flights	국제선
international marriage	국제결혼
internet	인터넷
interpretation	통역
interpretation	풀이
intersection, four corners	사거리
intersection, three-way intersection	삼거리
interval	간격
interview	면접
interview	인터뷰하다
interviewer	면접관
interview test	면접시험
introduce	소개하다
introduction	소개
introduction	서론
introspection, self-contemplation	반성
invention	발명
investigate	조사하다
investment techniques	재테크
invitation	청첩장
invitation	초대장
invitation	초청장
invite	초대하다
invoice	청구서
iron	쇠
ironing	다림질
iron, season	철
irregularity	불규칙
is	이다
island	섬
issuance	발급
it	그
it	그거
it	그것
It's fine.	괜찮습니다
I understood.	알았습니다
jacket	재킷
jacket	점퍼
Jajangmyeon	자장면
January	일월
Japan	일본
Japanese drama	일본드라마
Japanese food	일본요리
Japanese language	일본말
Japanese language	일본어
Japanese people	일본사람
Japanese style, Japanese food	일식
Japchae (Korean food)	잡채
jazz	재즈
jealousy	질투
Jeju Island	제주도
job, profession	직업
jogging	조깅
joint	공동
joke	농담
Jong-ro	종로
Jordan	요르단
journalist	언론인
joy, happiness	기쁨
joy, pleasure	즐거움
juice	주스
July	칠월
June	유월
Junior	후배
just	그저
just, as it is	그냥
just as it was before	여전히
just happened to be	마침
justice	정의
just now	방금
Karaoke shop	노래방
key	열쇠
key, height	키
kick	차다
kilogram	킬로그램
kilometer	킬로미터
Kimbab	김밥
Kimchi	김치
Kimchi stew	김치찌개
kindergarten	유치원
kind, type	종류
king	왕
kitchen	부엌
kitchen	주방
knee	무릎
knife, cutlery, swords	칼
know	알다
knowledge	지식
Kochujang, red pepper paste	고추장
Korea	한국
Korean beef	한우
Korean cold noodle	물냉면
Korean cuisine	한식
Korean cuisine	한국요리
Korean drama	한국드라마
Korean independence movement day	삼일절
Korean language	국어
Korean language	조선말
Korean language	조선어
Korean language	한국말
Korean language	한국어
Korean language	우리말
Korean pancake	파전
Korean people	한국사람
Korean set meal	한정식
Korean studies	한국학
Korean style chicken dish	닭갈비
Korean style cold noodles with spicy sauce	비빔냉면
Korean style noodle	칼국수
(Korean style) seasoned vegetables	나물
Korean style shaved ice	팥빙수
(Korean traditional) candy	엿
Korean traditional mask dance	탈춤
label	상표
labor	노동
laboratory	실험실
laborer	노동자
lake	호수
lamp	램프
lamp, light	전등
land, ground	땅
landlord	집주인
landscape	풍경
language	어학
language	언어
language training	어학연수
laptop	노트북
large company	대기업
large size	대형
last	마지막
last, final	최종
last, final	최후
last month	지난달
last night	어젯밤
last time	지난번
last train	막차
last week	지난주
last year	작년
last year	지난해
late, delay	늦다
later	이따
later	이따가
later, after	나중
later half	후반
latest	최신
laugh	웃다
laughter	웃음
laundry	세탁물
laundry, wash	빨래
law	법
lawyer	변호사
layer, ~ floor	층
layoff, discharge	해고
leaf	잎
leaf	나뭇잎
learn	배우다
learning, study	학습
leave	남기다
leave	떠나다
leave of absence (from school)	휴학
leave the office	퇴근하다
leaving a country	출국
lecture	강좌
lecture	강연
lecture	강의
lecture hall	강의실
left	왼쪽
left and right	좌우
leisure	여가
leisure sports	레포츠
lemon	레몬
lens	렌즈
lenth	길이
less, not yet	덜
less than, below	이하
letter	편지
letter	글씨
letter	글자
letter of recommendation	추천서
level	수준
library	도서관
license	면허증
license, certificate	자격증
lie	거짓말
lie down, sleep	눕다
lies	거짓
life	삶
life	생활
life	목숨
life	생명
life	인생
lifespan	수명
lifetime	일생
light	빛
light	가볍다
light bulb	전구
lighting, illumination	조명
lights, lamp	등불
like	좋아하다
like that, in that way	저렇게
like that, so	그렇게
like this	이렇다
like this, so, in this way	이렇게
limit, restriction	제한
line	선
line, column, string	줄
lips	입술
liquid medicine	물약
listen	듣다
listening, hearing	듣기
literature	문학
live	살다
live broadcast	생중계
livestock	가축
living	살림
living alone	자취
living room	거실
load, baggage	짐
loan, lend	대출
loan word, borrowed word	외래어
lobby	로비
location, position	위치
lodge, a local hotel	민박
lodging, accomodating	숙박
loneliness	외로움
lonely	외롭다
long	길다
long, much	오래
long time	오랜
Long time no see.	오래간만입니다
look good on, befit	어울리다
lose	잃다
lose	지다
lose	잃어버리다
loss	분실
lost and found	분실물
lottery	로또
lottery	복권
love	사랑
love	사랑하다
love, affection	애정
love marriage	연애결혼
lover	애인
low	낮다
luck	운
luck, fortune	행운
lump-sum payment	일시불
lunar calendar	음력
Lunar New Year	설날
lunch	점심
lunch	점심식사
lunchbox	도시락
lunchtime	점심시간
machine	기계
magazine	잡지
magic	마술
mail delivery	우편배달
main character	주인공
main discussion topic	본론
mainly	주로
main road	큰길
major	전공
make, create	만들다
make cry, chime	울리다
make someone do, order	시키다
makeup	화장하다
male	남성
male student	남학생
man	남자
management	경영
management	관리
management room	관리실
manager	과장
mandarin orange	귤
mandatory	필수
mannequin	마네킹
manner, etiquette	예의
manner, etiquette	예절
manual	설명서
manuscript	원고
many	많다
many	다수
many	여럿
map	지도
marathon	마라톤
March	삼월
market	시장
marketing	마케팅
marriage	결혼
marriage (of men)	장가
marriage proposal	청혼
married	기혼
mask	마스크
mask, disguise	탈
mass, a large amount	대량
mass media	언론
masterpiece, designer goods	명품
master's bedroom	안방
master's degree	석사
material	재료
material, document	자료
maternal	외가
maternal aunt	이모
maternal aunt	외숙모
maternal grandfather	외할아버지
maternal grandmother	외할머니
maternal uncle	외삼촌
maternal uncle	이모부
mathematics	수학
maximum	최대
May	오월
maybe	혹시
maybe, perhaps	아마
maybe, possibly	어쩌면
meal	식사
meaning	뜻
meaning	의미
means, method	수단
meantime, meanwhile, up to now	그동안
meat	고기
medical examination	진찰
medium	매체
medium, during	중
meet	뵙다
meet	만나다
meeting, gathering	모임
melody	멜로디
melon	멜론
member	회원
membership fee	회비
membership training	엠티
memo	메모
memorial hall	기념관
memory	추억
memory	기억
memory	기억력
men and women	남녀
men and women of all ages	남녀노소
men's clothing	남성복
menu	메뉴
merchant	상인
message	메시지
meter	미터
method, style	방식
Mexico	멕시코
microwave	전자레인지
midday	한낮
middle	중간
middle	가운데
middle school, Junior high school	중학교
middle school student	중학생
milk	우유
millimeter	밀리미터
mind, consciousness	정신
mind, feeling	마음
mindfulness	마음씨
minimum	최저
minority, a small number	소수
minus, below zero	영하
mirror	거울
mischievous kid	장난꾸러기
misfortune	불행
Miss, daughter	아가씨
missing person	실종자
mistake	잘못
mistake, failure	실수
misunderstanding	오해
misunderstanding	착각
mobile	휴대
mobile phone	휴대폰
model	모델
model, figure	모형
model student	모범생
moderator, chairperson	사회자
modern people	현대인
modern style	현대식
moisture	습기
mom	엄마
moment	순간
Monday	월요일
money	돈
(money) check	수표
money transfer	송금
Mongolia	몽골
monkey	원숭이
month	월
monthly, every month	매달
monthly installment plan	할부
monthly rent	월세
monthly salary	월급
month, moon	달
moonlit night	달밤
mopping	걸레질
more	더
more and more	갈수록
more than, strange	이상
morning, a.m.	오전
morning and evening	아침저녁
morning, breakfast	아침
mosquito	모기
most	가장
most	제일
mostly, almost	대부분
mostly, usually	대개
mother	어머니
mother	어머님
mother-in-law	시어머니
motion, action	동작
motionlessly	가만히
motivation	의욕
motorcycle	오토바이
mountain	산
mountaineering clothing	등산복
mountain summit	산꼭대기
mouse	쥐
mouth	입
move	이동
move	움직이다
move, moving	이사
move, transfer, translate	옮기다
movie	영화
movie star	영화배우
movie theater	영화관
movie ticket	영화표
moving (emotionally)	감동적
Mt. Seorak	설악산
much, far, a lot	훨씬
multimedia room	시청각실
multimedia room	멀티미디어실
murder	살인
muscle	근육
museum	박물관
mushroom	버섯
music	음악
musical	뮤지컬
musical concert	음악회
musical instrument	악기
musician	음악가
myself, own	자기
myself, own	자신
Namdaemun market	남대문시장
name	성함
name	이름
name	호칭
name tag	이름표
narrow	좁다
nation	국가
nationalestablished, state	국립
nationality, country of citizenship	국적
nationwide	전국
native language	모국어
natural curly hair	곱슬머리
nature	자연
naughty child	개구쟁이
naughty, prank	장난
near	가까이
nearby, neighborhood	근처
necessities	필수품
necessity	필요
necessity	필요성
necklace	목걸이
neck, throat	목
necktie	넥타이
need	필요하다
needle	바늘
needlework	바느질
neighbor	이웃집
neighborhood	이웃
nephew	조카
nervousness	긴장감
network	네트워크
never	결코
never, absolutely	절대
nevertheless, but	그렇지만
new city	신도시
new generation	신세대
new grain	햇곡식
new item	신상품
newly	새로
newly married	신혼
newlyweds, newly-married couple	신혼부부
new model	신형
new product	신제품
news	뉴스
news	소식
newspaper	신문
newspaper	신문지
newspaper company	신문사
news, regards	안부
new technology	신기술
new year	새해
new years holidays	연말연시
new year's money	세뱃돈
New York	뉴욕
next, after	다음
next day	다음날
next month	다음달
next week	다음주
next year	내년
next year, following year	다음해
nice to meet, happy	반갑다
Nice to meet you.	반갑습니다
Nice to meet you.	처음 뵙겠습니다
nickname	별명
night	밤
nightmare	악몽
nighttime, during night	야간
night view	야경
no	아뇨
no	아니
no	아니다
no	아니오
no	아니요
No. ~	호
noise	소음
noisy	시끄럽다
no matter how	아무리
none, no, not	없다
no news	무소식
noodle	국수
normal	정상
North	북쪽
north and south	남북
nose	코
nosebleed	코피
no smoking	금연
not at all	전혀
not delicious	맛없다
note	노트
notebook, note	공책
note, notebook	수첩
not funny, uninteresting	재미없다
notice	고지서
notice	통지서
not really	별로
not salty	싱겁다
noun	명사
novel	소설
novel	소설책
novelist	소설가
November	십일월
now	이제
now	지금
nowadays, around this time, lately	요즘
now and then	때로
no way	설마
now, current	현재
number	번호
number of people	인원
number of times	횟수
numbers	숫자
number ticket	번호표
nurse	간호사
nursing	간호
nursing home	양로원
nutrients	영양분
nutrients	영양소
nutrition	영양
nutritional supplement	영양제
nutritional value	영양가
obesity	비만
object, thing	사물
obligation	의무
observation	관찰
obstetrics and gynecology	산부인과
occur, come out	나다
occurrence	발생
October	시월
odd number	홀수
of course	당연히
offer	제공
office	사무실
office	사무소
officetel(office + hotel)	오피스텔
of mine, my	내
often	자주
oh well	글쎄
oh, well	어머
oil, gasoline	기름
oil, petroleum	석유
old, ancient	옛
old lady, madame, aunt	아줌마
old lady, madame, aunt	아주머니
old story, old speech, old tale	옛말
olympic	올림픽
olympic	올림픽
omission, deletion	생략
once	한번
Ondol (Korean traditional heating system)	온돌
one day	하루
one night	하룻밤
one, one of the ~	한
one or two	한두
one-piece dress	원피스
one's 60th birthday	회갑
one's junior, one's subordinate	아랫사람
one week	일주일
onion	양파
online	온라인
online chat	채팅
only	뿐
only daughter	외동딸
only son	외아들
only son	외동아들
only, ten thousand	만
on purpose	일부러
on-site	현장
on the other hand	한편
on the way	도중
on the way to work	출근길
on time	제때
on time	제시간
open	열다
opening ceremony	개막식
opening, opening to the public	개방
opera	오페라
operate on for	수술하다
ophthalmology	안과
opinion	의견
opponent	상대
opponent	상대방
opportunity, change	기회
opposite	반대
opposite side	반대쪽
opposite word	반대말
or	또는
or	혹은
orange	오렌지
orange color	주황색
order	질서
order	차례
order	주문하다
order of arrival	선착순
order, turn	순서
ordinary	일반
ordinary people	일반인
oriental painting	동양화
orientation	오리엔테이션
origin, affiliation	출신
originally	원래
original place	제자리
orphanage	고아원
other	기타
other ~, another ~, different ~	다른
other side, opposite side	건너편
otorhinolaryngology, ENT	이비인후과
our country, South Korea	우리나라
outdoors	야외
outlook	전망
out, outside	밖
output	출력
outside, outdoor	바깥
outstandingly, especially	유난히
overeating	과식
overlap	겹치다
overseas	해외
overseas resident	교포
overseas resident	국외
overseas trip	해외여행
overslept, sleeping in late	늦잠
over there	저곳
overwork	과로
overwork	야근
owner	주인
packing	포장
page	페이지
pain	고통
pain	아픔
pain	통증
painful, sick	아프다
painkiller	진통제
pair	짝
pajama	잠옷
palm	손바닥
pants	바지
paper	종이
paper cup	종이컵
parcel	소포
parent-in-law	시부모님
parents	부모
Parent's day	어버이날
park	공원
park	주차하다
parking lot	주차장
part	부분
part	일부
participation	참가
participation	참여
part-time job	아르바이트
party	파티
party, feast	잔치
pass	합격
pass by	지나다
passenger	승객
passenger car	승용차
pass, lead	통하다
passport	여권
past	과거
past, old days	예전
pastor	목사
paternal aunt	고모
paternal uncle	삼촌
paternal uncle	고모부
patient	환자
pattern	무늬
payphone, public phone	공중전화
pay, put out	내다
peace	평화
peach	복숭아
peanuts	땅콩
pedagogy	교육학
peel, skin	껍질
pen	펜
pencil	연필
pencil case	필통
pepper powder	고춧가루
peptic, digestive	소화제
percent	퍼센트
perfectly, just	딱
performance	연주
performance, function	성능
performance hall	공연장
(performance) stage	무대
perfume, nostalgia	향수
perm	파마
permission	허락
persimmon	감
persistence	고집
personality	성격
person in charge	담당자
person, man	사람
~ person(s)	명
~ person(s), ~ minute(s)	분
persuasion	설득
pesticides	농약
pet dog	애완견
pets	애완동물
pharmacist	약사
pharmacy	약국
philosophy	철학
phone bell	전화벨
phone call	통화
phone number	전화번호
photo album	사진첩
photo studio	사진관
physical education	체육
pianist	피아니스트
piano	피아노
pickpocketing	소매치기
pick up	마중
pickup, collection	수거
picnic	나들이
picnic	야유회
picnic, trip	소풍
picture book	그림책
picture frame	액자
picture, photo	사진
pierce, take (a photo), press	찍다
pig	돼지
piggybank	저금통
pig's feet	족발
pile	산더미
pillar	기둥
pillow	베개
pink color	분홍색
pizza	피자
place	곳
place	장소
place	군데
plan	계획
planning	계획성
plans	예정
plant	식물
plastic	플라스틱
plastic surgery	성형
play	놀다
player	선수
play, game	놀이
playground	놀이터
playground, athletic field	운동장
please	제발
plug	플러그
pocket money, allowance	용돈
pocket, pouch	주머니
poet	시인
poetry collection, marriage (for women)	시집
point	점
point	포인트
point, branch	지점
poison	독
police	경찰
police office	경찰서
police officer	경찰관
political science	정치학
politician	정치가
politician	정치인
politics	정치
pollution	공해
pollution	오염
pool, grass	풀
popularity	인기
popular star	인기스타
population	인구
pork	돼지고기
possibility	가능성
possibility, potentiality	가능
post	우편
postcard	엽서
postgraduate student, graduate student	대학원생
post mail	우편물
post office	우체국
post, sentence, character	글
pot	냄비
potato	감자
pour	붓다
poverty	가난
powder soap	가루비누
power	힘
power outage	정전
power supply	전원
practice	연습
practice	연습하다
prayer	기도
pregnancy	임신
pregnant woman	임산부
preparation	준비
prepare	준비하다
prepare, arrange	차리다
prescription	처방
prescription	처방전
presentation	발표회
present-day	현대
presenter	발표자
president	회장
president (of a country)	대통령
press down, push	누르다
pretty, beautiful	예쁘다
prevention	예방
pre-view, preparation	예습
price	값
price	가격
price	물가
prime minister	수상
princess	공주
principle	원리
print	프린트
printed papers	인쇄물
printer	프린터
printing	인쇄
privacy	사생활
prize money, reward	상금
prize, reward	상
problem	문제
problem	문제점
process	과정
processing	처리
product	상품
product	제품
product, goods	물품
production	생산
production	제작
professor	교수
profit	이익
program	프로그램
programmer	프로그래머
progress	진행
promotion	승진
promotion materials	홍보물
pronunciation	발음
properly	제대로
properly (without failure), faithfully	꼬박꼬박
protect	지키다
protection	보호
protein	단백질
proverb	속담
psychologist	심리학자
psychology	심리학
puberty	사춘기
public	대중
public bath	목욕탕
public bath	대중목욕탕
public holiday	공휴일
public official	공무원
public place	공공장소
public relations	홍보
public transportation	대중교통
publishing company	출판사
puppy	강아지
purchase	구매
purchase	구입
purchase order	주문서
purpose	목적
put	놓다
put	두다
put in	넣다
put in for, apply for	신청하다
(put into) practice, action	실천
put on, place	올려놓다
put on, plug, (fog) rolls in	끼다
put on, wear	신다
put on, wear	입다
Pyongyang	평양
qualification	자격
quality	질
quality	물질
quality	품질
quality of living	생활수준
quantity	분량
quantity, amount	수량
quarrel	말다툼
queen	왕비
question	질문
question	물음
question	의문
questionnaire	설문지
questionnaire	설문조사
quickly	빨리
quietly	조용히
quite	꽤
quiz	퀴즈
rabbit	토끼
radio	라디오
radish	무
rag	걸레
rain	비
rain and wind, typhoon	비바람
rainbow	무지개
rain precipitation	강수량
rainy road	빗길
rainy season	장마
rainy season	장마철
ramen	라면
range	범위
rather	오히려
rather	차라리
razor, shaving	면도
reaction	반응
read	읽다
read	독서하다
reading	독서
reading	읽기
reading room	독서실
reading room	열람실
real estate	부동산
reality	현실
really	정말로
really, truly	정말
really, truly	진짜
really, very	참
rear, back	뒤
reason	이유
reason, the opposite sex	이성
receipt	영수증
receive	받다
recent	최근
recently, these days	요새
reception	접수
recipe	요리법
recipe	조리법
recommendation	추천
reconciliation, settlement, compromise	화해
record	음반
record	기록
recovery	회복
recruitment	모집
recruitment	채용
recycled goods	재활용품
recycling	재활용
red	빨갛다
red color	빨간색
red pepper	고추
reduction	감소
reference	참고
refrigerator	냉장고
refund	반품
refund	환불
regardless	상관없이
register	등록
registration card	등록증
registration fee, tuition fee	등록금
regret	후회
regular (customer)	단골
reissue	재발급
rejection	거절
relation	관계
relation	상관
relation	관련
relationships	인간관계
relative	친척
relevance	관련성
relief	안심
religion	종교
remainder, surplus	나머지
remarriage	재혼
remember	기억하다
remote controller	리모컨
remove, pull, pull out	빼다
rent	집세
rental	대여
rental charge	대여료
rent house	전셋집
repair	수리
repair (clothes)	수선
repair cost	수리비
repeat	반복
replenishment	보충
reply	답장
reply	답글
report	보고
report	신고
reporter	기자
reporting/briefing session	보고회
representative	대표
Republic of Korea, South Korea	대한민국
request	요구
request	요청
request, please	부탁
rescue team	구조대
research	연구
research institute	연구소
research laboratory	연구실
resemble	닮다
reservation	예약
reservation, booking	예매
residence	주거
resident	주민
residential area	주택가
resignation	사표
resort	휴양지
resource	자원
respect	존경
respondents	응답자
response, answer	응답
responsibility	책임
rest	쉬다
rest	휴식
restaurant	음식점
restaurant, cafeteria	식당
restroom, toilet, lavatory	화장실
result	결과
retirement	퇴직
return	반납
return, come back	다녀오다
return date	반납일
return, go back	돌아가다
return (to home country)	귀국
review	복습
revision, crystal	수정
rhythm	리듬
rice	쌀
rice bowl	밥그릇
rice cake	떡
rice cake soup	떡국
rice, meal	밥
rice plant	벼
rich family	부잣집
rich person	부자
ride, get on	타다
riding, boarding	승차
right, fit, correct	맞다
right hand	오른손
right, paint, wear	바르다
right side, right	오른쪽
ring	반지
rise, increase	상승
rise, open (the eyes)	뜨다
rise, stand, occur	일어나다
river	강
riverside	강변
river water	강물
road	도로
roadside	길가
robot	로봇
rock, stone	바위
rod, stick	막대기
role	역할
romance, courtship	연애
roof	지붕
room	방
roommate	룸메이트
room to oneself, solitary confinement	독방
room with Ondol	온돌방
root	뿌리
rose	장미
rose of sharon	무궁화
round trip	왕복
route, line	노선
rubber band	고무줄
rubber shoes	고무신
rule	규칙
rumors, reputation	소문
run	뛰다
run	달리다
running	달리기
rural	농촌
Russia	러시아
sad	슬프다
safe	안전하다
safely	무사히
safety line	안전선
sale	판매
sale, discount	할인
sales	영업
sales department	영업부
saliva	침
salt	소금
salty, make (the plan)	짜다
same	같다
same	똑같다
Samgyetang	삼계탕
sand	모래
sandwich	샌드위치
satisfaction	만족
satisfaction (feeling)	만족감
Saturday	토요일
sauce	소스
sauna	찜질
sauna	사우나
save, seek, get	구하다
saving, frugality	절약
savings	저금
savings	저축
say, talk	말하다
scale (weight)	저울
scanner	스캐너
scary	무섭다
scent	향
schedule	일정
schedule, timetable	시간표
scholar	학자
scholarship	장학
scholarship	장학금
school	학교
school excursion	수학여행
science	과학
scientists	과학자
scissors	가위
score, point	점수
screen	화면
sea	바다
sea bathing	해수욕
seafood	해물
seafood	수산물
seafood	해산물
seal, stamp	도장
search	검색
search word	검색어
season	계절
seasonal change	환절기
seasoning	조미료
seat	좌석
seat, location	자리
seawater	바닷물
seaweed	김
seaweed	미역
seaweed soup	미역국
second half	후반전
second hand	중고
second-hand car	중고차
second-hand goods	중고품
~second(s)	초
second, the second of~	둘째
secret	비밀
secretly	몰래
section	마디
~ section(s), temple	절
security	경비
security deposit system of housing	전세
security guard	경비원
see	보다
seed, Mr. ~	씨
self-esteem, pride	자존심
sell	팔다
sell, be sold	팔리다
seller	판매자
semester	학기
seminar	세미나
send, fry, transmit	부치다
send, spend	보내다
seniority, elder	연상
sensation	감동
sense	감각
sentence	문장
Seolleongtang	설렁탕
Seoul	서울
Seoul station	서울역
separately	따로
separately	따로따로
separately, each	각각
separation	분리
September	구월
serial drama, soap opera	연속극
service	서비스
serving	서빙
sesame leaf	깻잎
sesame oil	참기름
sesame salt	깨소금
set up, formulate	세우다
several, various	여러가지
severe, terrible	심하다
shade	그늘
shame, embarrassment	창피
shampoo	샴푸
shape, form, style	모양
share, divide	나누다
shellfish	조개
shiny, sparkly	반짝반짝
shipbuilding, Korea	조선
ship, stomach, pear	배
shirt	셔츠
shirt	와이셔츠
shock, impact	충격
shoes	구두
shoes, footwear	신발
shop	매점
shopping	쇼핑
shopping bag	쇼핑백
shopping basket	장바구니
shopping center	쇼핑센터
shopping mall	쇼핑몰
shopping street, shopping district	상가
short	짧다
shorts	반바지
short term	단기간
shoulder	어깨
shoulder, carry	메다
show	쇼
show, look	보이다
show, public performance	공연
shrimp	새우
shrink, decrease	줄다
shut, close	닫히다
shuttle bus	셔틀버스
sibling	형제
sickness, disease that comes from fatigue	몸살
~side	측
side	옆
side dish	반찬
side effects	부작용
side, episode	편
sideline	부업
side, noodles	면
side, outside	겉
side, page	쪽
sidewalk, report	보도
sigh	한숨
sight	시력
sign	사인하다
signal	신호
signature	서명
signboard	간판
significance, meaning, sense	의의
sign, mark	표시
sign, ~ person(s)	인
silent, quiet	조용하다
silk	실크
silver	은
similar, like	비슷하다
