가게	store, shop
가격	price
가구	furniture
가깝다	close
가끔	sometimes
가다	go
가르치다	teach
가방	bag
가볍다	light
가수	singer
가슴	chest, breast
가요	song
가운데	middle
가위	scissors
가을	autumn, fall
가장	most
가져가다	take away
가져오다	bring
가족	family
가지	branch
가지다	have
각	each
간	while
간단하다	simple, easy
간단히	simply
간식	snack
간장	soy sauce
간호사	nurse
갈비	Galvi, spareribs
갈비탕	Galbitang, spareribs soup
갈색	brown
갈아타다	transfer
감	persimmon
감기	cold
감기약	cold medicine
감다	close ~ (eyes)
감동	sensation
감동하다	be impressed
감사	thank
감사드립니다	thank you
감사하다	thank, appreciate
감사합니다	thank you
감자	potato
감자탕	Gamjatang, potato soup
갑자기	suddenly
값	price
강	river
강아지	puppy
강좌	lecture
갖다	have
같다	same
같이	together
개	dog, ~ piece(s)
개나리	forsythia
개인	individual
거기	there
거리	street
거실	living room
거울	mirror
거의	almost, nearly
거짓말	lie
걱정	anxiety, concern
걱정하다	worry
건강	health
건강하다	be healthy
건너가다	cross (a road)
건너다	cross over
건너편	other side, opposite side
건물	building
건배	cheers, toast
걷다	walk
걸다	bet, call
걸리다	get caught, take (time)
걸어가다	walk (go)
걸어오다	walk (come)
검은색	black
것	that, thing, it
게임	game
겨울	winter
겨울방학	winter vacation
결과	result
결정	decision
결정하다	decide
결혼	marriage
결혼식	wedding ceremony
결혼하다	get married
경기	competition, game
경기장	stadium, arena
경복궁	Gyeongbokgung
경주	Gyeongju
경찰	police
경찰관	police officer
경찰서	police office
경치	view, landscape
경험	experience
계단	stairs
계란	egg
계산하다	calculate
계속	continue
계시다	be, exist (honorific form)
계절	season
계획	plan
고기	meat
고등학교	high school
고등학생	high school student
고르다	choose
고마웠습니다	Thank you (past tense)
고맙다	thank
고맙습니다	Thank you
고모	paternal aunt
고모부	paternal uncle
고속버스	express bus
고양이	cat
고장	broken, malfunction
고추	red pepper
고추장	Kochujang, red pepper paste
고치다	fix
고프다	hungry
고향	hometown
곧	soon
골목	alley
골프	golf
곱다	beautiful
곳	place
공	ball
공간	space
공기	air
공무원	public official
공부	study
공부하다	study
공연	show, public performance
공원	park
공중전화	payphone, public phone
공짜	free
공책	notebook, note
공항	airport
공휴일	public holiday
과	division
과거	past
과일	fruit
과자	snack
과학	science
관계	relation
관광하다	travel, sightsee
관심	attention, interest
광고	advertisement
괜찮다	be okay
괜찮습니다	It's fine.
교과서	textbook
교수	professor
교실	classroom
교체	substitute, change
교통	traffic
교통사고	traffic accident
교회	church
구	9
구경하다	take a look
구두	shoes
구름	cloud
구십	90
구월	September
구하다	save, seek, get
국	soup
국내	domestic
국립	nationalestablished, state
국수	noodle
국어	Korean language
국적	nationality, country of citizenship
국제	international
군인	soldier, military personnel
굽다	bake
권	~ book(s)
귀	ear
귀엽다	cute
규칙	rule
귤	mandarin orange
그	it
그거	it
그것	it
그곳	there
그날	that day
그냥	just, as it is
그동안	meantime, meanwhile, up to now
그들	them, they
그때	then, at that time
그래	Yes, Yeah
그래서	so, thus
그램	gram
그러나	but, however
그러니까	so, because
그러면	then, if so
그런	then, such
그런데	by the way, however
그럼	then
그렇게	like that, so
그렇구나	well, I see.
그렇다	Yes, that's it.
그렇습니다	That's right.
그렇지만	nevertheless, but
그릇	bowl, container, tableware
그리고	and
그리다	draw
그림	drawing, picture
그만	stop, finish
그분	his, the person
그저께	day before yesterday
그중	among them
그쪽	there, the person
그치다	stop, end, cease
극장	theater, cinema
근처	nearby, neighborhood
글	post, sentence, character
글쎄요	I do not know., well, I guess ~
금방	soon, a little while ago
금연	no smoking
금요일	Friday
금주	abstinence, temperance
급	class, grade
급하다	hurry, urgent
기간	term, period
기다리다	wait
기르다	cultivate, grow
기름	oil, gasoline
기분	feeling
기뻐하다	glad, delight
기쁘다	happy
기사	article, driver, engineer
기숙사	dormitory
기억하다	remember
기온	temperature
기자	reporter
기차	train
기침	cough
기타	other
긴장되다	be nervous
길	way, road
길다	long
김	seaweed
김밥	Kimbab
김치	Kimchi
김치찌개	Kimchi stew
김포공항	Gimpo International Airport
까만색	black color
까맣다	black
깎다	cut, shave
깜짝	startled, surprised
깨끗하다	clean
깨다	wake up, crack, break
깨지다	chip, crack, break
꺼내다	take out
껌	chewing gum
꼭	exactly, absolutely
꽃	flower
꽃집	florist
꾸다	dream
꿈	dream
끄다	turn off, extinguish, stop
끓이다	boil
끝	end
끝나다	finish, end
끝내다	finish
끼다	put on, plug, (fog) rolls in
나	I
나가다	go out, get out
나누다	share, divide
나다	occur, come out
나라	country
나무	tree
나빠지다	spoil, deteriorate
나쁘다	bad
나오다	come out, appear
나이	age, old
나중	later, after
나타나다	appear
나흘	four days
낚시	fishing
날	day
날씨	weather
날짜	date
남	south, man
남기다	leave
남녀	men and women
남대문시장	Namdaemun market
남동생	younger brother
남미	South America
남북	north and south
남자	man
남쪽	south
남편	husband
남학생	male student
낮	day, noon, during the day
낮다	low
내	of mine, my
내가	I
내과	internal medicine
내년	next year
내다	pay, put out
내려가다	go down
내려오다	come down
내리다	go down
내용	content
내일	tomorrow
냄비	pot
냄새	smell
냉면	cold noodle
냉장고	refrigerator
너	you
너무	too, very
넓다	wide
넘다	exceed, more than
넘어지다	fall down, fall
넣다	put in
네	yes, 4
넥타이	necktie
넷	4
넷째	fourth
년	year
노란색	yellow color
노랗다	yellow
노래	song
노래방	Karaoke shop
노래하다	sing
노력하다	endeavor, strive
노트	note
녹색	green
녹차	green tea
놀다	play
놀라다	be surprised
농구	basketball
높다	high
놓다	put
누가	who
누구	who
누나	sister (as seen from the younger brother)
누르다	press down, push
눈	eye, snow
눈물	tear
눈사람	snowman
눈싸움	staring contest, snowball fight
눕다	lie down, sleep
뉴스	news
뉴욕	New York
느끼다	feel
느낌	feeling
느리다	slow
늘	always
늘다	gain, increase
능력	ability
늦다	late, delay
늦잠	overslept, sleeping in late
님	Sir
다	all, whole
다녀오다	return, come back
다니다	go, commute
다르다	different
다른	other ~, another ~, different ~
다리	bridge, leg, foot
다섯	5
다시	again
다음	next, after
다음달	next month
다음주	next week
다음해	next year, following year
다이어트	diet
다치다	hurt
닦다	wipe, polish
단어	word
단점	disadvantage, shortcoming, drawback
닫다	close
닫히다	shut, close
달	month, moon
달걀	egg
달다	sweet
달러	dollar
달력	calendar
달리다	run
닭	chicken, hen
닭고기	chicken
닮다	resemble
담그다	dip, pickle
담배	tobacco
답장	reply
당근	carrot
당신	you
대	versus, large
대답	answer
대답하다	answer, reply
대부분	mostly, almost
대사관	embassy
대학	university, college
대학교	university, college
대학생	college student
대학원	graduate school
대학원생	postgraduate student, graduate student
대한민국	Republic of Korea, South Korea
대화	conversation, dialogue
대회	competition, tournament
댁	house
더	more
더럽다	dirty
더운물	hot water
덕분	thanks for, thanks to
덥다	hot
덮다	cover
데리다	bring, take along
데이트	date, dating
도로	road
도서관	library
도시	city
도와주다	help
도움	help, assistance
도착	arrival
도착하다	arrive
도쿄	Tokyo
독서	reading
독서실	reading room
독서하다	read
독일	Germany
돈	money
돌아가다	return, go back
돌아오다	come back, come home
돕다	help
동네	town, neighborhood
동대문시장	Dongdaemun market
동물	animal
동생	brother, sister
동아리	club, group
동안	during, between
동양	eastern, orient
동전	coin
동쪽	east
돼지	pig
돼지고기	pork
되다	become
된장	fermented soybean paste
된장국	soybean paste soup
된장찌개	soybean paste stew
두	two
두껍다	thick
두다	put
두부	tofu
두부찌개	tofu soup
둘	2
둘째	second, the second of~
뒤	rear, back
뒤쪽	behind, back, towards the rear
드라마	drama
드리다	give
드시다	eat (honorific form)
듣기	listening, hearing
듣다	listen
들	field, ~s,
들다	hold, enter
들어가다	go in, enter
들어오다	come in, enter
등	etc, back
등산	hiking, mountain-climbing
등산복	mountaineering clothing
등산화	hiking boots, climbing shoes
디브이디	DVD
디자인	design
따뜻하다	warm
따라가다	follow
따라오다	come with, follow
따로	separately
따르다	follow
딸	daughter
딸기	strawberry
땀	sweat
때	time
때문	because, for ~, so~
떠나다	leave
떠들다	chatter, make a noise
떡	rice cake
떡국	rice cake soup
떡볶이	Toppogi
떨어지다	drop
또	in addition, again
또는	or
똑같다	same
똑바로	upright, straight
뛰다	run
뜨겁다	hot
뜨다	rise, open (the eyes)
뜻	meaning
라디오	radio
라면	ramen
러시아	Russia
로션	skin lotion
마늘	garlic
마르다	dry
마리	~ animal(s), ~ head(s)
마시다	drink
마음	mind, feeling
마지막	last
마치다	finish, end
마흔	40
막히다	be blocked, be clogged
만	only, ten thousand
만나다	meet
만두	dumpling
만들다	make, create
만일	if, should
만지다	touch
만화	comic book, cartoon
많다	many
많이	a lot of, many
말	word, talk
말씀	words, remarks
말씀하다	talk
말하기	speaking
말하다	say, talk
맑다	clear, clean
맛	flavor, taste
맛없다	not delicious
맛있다	delicious
맞다	right, fit, correct
맞습니다	That's right.
맞아요	That's right.
맞은편	across, the other side, opposite
매다	tie
매우	extremely, very
매일	everyday
매주	every week
맥주	beer
맵다	spicy
머리	head, hair
먹다	eat
먼저	first, first of all, before
멀다	far, distant, long
멋있다	cool, nice
메뉴	menu
메다	shoulder, carry
메모	memo
메시지	message
멕시코	Mexico
며칠	a few days, what date
면도	razor, shaving
명	~ person(s)
명절	holidays, annual events
몇	a few, a number of
모두	all, everyone
모레	the day after tomorrow
모르겠습니다	I don't know.
모르다	do not know
모시다	take you, serve you (honorific form)
모양	shape, form, style
모으다	collect, gather
모이다	gather, get together
모임	meeting, gathering
모자	hat
목	neck, throat
목걸이	necklace
목소리	voice
목요일	Thursday
목욕	bath, bathing
목욕하다	take a bath
목적	purpose
몸	body
몸살	sickness, disease that comes from fatigue
못하다	~ can not do
몽골	Mongolia
무	radish
무겁다	heavy
무궁화	rose of sharon
무료	free
무릎	knee
무리	swarm, unreasonable
무섭다	scary
무슨	what
무엇	what
무엇이	what
무역	trade
무용	dance
무척	very
문	door, gate
문구점	stationery store
문장	sentence
문제	problem
문화	culture
묻다	ask
물	water
물건	stuff, thing
물론	sure, of course
물어보다	ask
뭐	what
미국	The United States
미래	future
미리	in advance, beforehand
미술	art
미술관	art gallery, art museum
미안하다	sorry
미안합니다	I'm sorry.
미용실	beauty salon
미터	meter
민속촌	folk village
밀가루	flour
밀리다	be shaved, be pushed
밑	bottom, below
바꾸다	change
바뀌다	be changed
바나나	banana
바다	sea
바닷가	beach
바라다	hope
바람	wind
바로	immediately, soon, just
바르다	right, paint, wear
바쁘다	busy
바이올린	violin
바지	pants
박물관	museum
박수	clap, applause
밖	out, outside
반	half, group
반갑다	nice to meet, happy
반갑습니다	Nice to meet you.
반년	half a year
반달	half-moon
반바지	shorts
반지	ring
반찬	side dish
받다	receive
발	foot, leg
발가락	toe(s)
발음	pronunciation
발전	development
발표	announcement, presentation
밝다	bright
밤	night
밥	rice, meal
방	room
방법	way, method
방송	broadcast
방송국	broadcast stations
방학	vacation
배	ship, stomach, pear
배고프다	hungry
배구	volleyball
배달	delivery
배부르다	be full (I am full.)
배우	actor
배우다	learn
배탈	stomachache
백	100
백화점	department store
버리다	abandon, throw away
버스	bus
번	~ time(s)
번호	number
벌다	earn, make money
벌써	already
벗다	take off (clothes, shoes)
벚꽃	cherry blossom
베이징	Beijing
베트남	Vietnam
벽	wall
변호사	lawyer
별	star
별로	not really
병	illness, ~ bottle(s)
병원	hospital
보내다	send, spend
보다	see
보도	sidewalk, report
보이다	show, look
보통	usually, normally, in general
복숭아	peach
복잡하다	complicated, crowded
볶다	fry
볶음밥	fried rice
볼펜	ballpoint pen
봄	spring
봉지	bag
봉투	envelope
뵙다	meet
부동산	real estate
부드럽다	soft, friendly
부르다	call, sing
부모	parents
부부	couple, husband and wife, married couple
부산	Busan
부업	sideline
부엌	kitchen
부인	wife, Mrs.
부장	director
부지런하다	diligent
부치다	send, fry, transmit
부탁	request, please
부탁하다	beg, ask
북쪽	North
분	~ person(s), ~ minute(s)
분위기	atmosphere
불	fire, electrical light
불고기	Bulgogi, grilled meat
불다	blow (wind or whistle, musical instruments, etc.)
불편하다	uncomfortable, inconvenient
붓다	pour
붙다	stick, pass a test
붙이다	attach, stick
브라질	Brazil
블라우스	blouse
비	rain
비누	soap
비디오	video
비밀	secret
비빔밥	Bibimbap, mixed rice
비슷하다	similar, like
비싸다	expensive
비행기	airplane
비행장	airfield, airport
빌딩	building
빌리다	borrow, lend
빠르다	fast
빨간색	red color
빨갛다	red
빨다	suck, do laundry
빨래	laundry, wash
빨리	quickly
빵	bread
빵집	bakery
빼다	remove, pull, pull out
뿐	only
사	4
사거리	intersection, four corners
사계절	four seasons
사고	accident
사과	apple
사다	buy
사람	person, man
사랑	love
사랑하다	love
사례	case, example
사무실	office
사물	object, thing
사십	40
사업가	entrepreneur, businessman
사용하다	use
사원	temple, employee
사월	April
사이	between, while
사이다	cider
사이즈	size
사인하다	sign
사장	CEO, the president
사전	dictionary
사진	picture, photo
사진기	camera
사촌	cousin
사탕	candy
사흘	3 days
산	mountain
산책	walk
살	flesh, ~ year(s) old
살다	live
삼	3
삼거리	intersection, three-way intersection
삼계탕	Samgyetang
삼십	30
삼월	March
삼촌	paternal uncle
상관	relation
상자	box
상처	wound, scratch
상품	product
새	bird, new
새로	newly
새벽	dawn, late at night, early morning
새우	shrimp
색	color
색깔	color
샌드위치	sandwich
생각	thinking, thought
생각되다	be considered, it seems~
생각하다	think
생기다	form, arise
생선	fish
생신	birthday (honorific form)
생일	birthday
생활	life
샤워하다	take a shower
샴푸	shampoo
서다	stand
서로	each other, both
서류	document
서른	30
서비스	service
서양	western, west
서울	Seoul
서울역	Seoul station
서점	bookstore
서쪽	west, western
선물	gift, present
선배	elder, senior
선생님	teacher
선수	player
선택하다	choose, select
선풍기	fan
설거지	washing dishes, dish-washing
설날	Lunar New Year
설렁탕	Seolleongtang
설명	explanation, description
설명하다	explain
설악산	Mt. Seorak
설탕	sugar
섬	island
성	castle, last name
성격	personality
성함	name
세계	world
세수하다	wash
세우다	set up, formulate
세일하다	have a sale
세탁기	washing machine
세탁소	dry cleaners, laundromat
센터	center
센티미터	centimeter
셋	3
셋째	third
소	small, cow
소개	introduction
소개하다	introduce
소고기	beef
소금	salt
소리	sound, voice
소설	novel
소설가	novelist
소식	news
소파	sofa
소포	parcel
소풍	picnic, trip
소화제	peptic, digestive
속	inside
손	hand
손가락	finger
손님	customer
손수건	handkerchief
송이	bunch, flower, cluster
쇼핑	shopping
수건	towel, washcloth
수도	capital, water supply
수돗물	tap water
수박	watermelon
수술하다	operate on for
수업	class, lesson
수영	swimming
수영복	swimsuit
수영장	swimming pool
수요일	Wednesday
수저	chopsticks and a spoon
수첩	note, notebook
수학	mathematics
숙제	homework
순서	order, turn
숟가락	spoon
술	alcohol, liquor
쉬다	rest
쉰	50
쉽다	easy
슈퍼마켓	supermarket
스물	20
스웨터	sweater
스케이트	skate
스키	ski, skiing
스키장	ski resort
스타	star
스타킹	stockings
스트레스	stress
스페인어	Spanish
스포츠	sport
슬퍼하다	sorrow, mourn
슬프다	sad
습관	habit
시	city, time
시간	time
시간표	schedule, timetable
시계	clock
시골	countryside
시끄럽다	noisy
시내	downtown, city, stream
시다	sour
시디	CD
시민	citizen
시설	facility
시외	suburbs
시원하다	cool, refresh
시월	October
시작	start
시작되다	begin
시작하다	start, begin
시장	market
시청	city hall
시키다	make someone do, order
시험	exam, test
식당	restaurant, cafeteria
식사	meal
식탁	table
신	god, new
신다	put on, wear
신문	newspaper
신발	shoes, footwear
신청서	application forms
신청하다	put in for, apply for
실례	excuse
실례하다	be excused
실수	mistake, failure
싫다	hate
싫어하다	dislike, hate
심하다	severe, terrible
십	10
십이월	December
십일월	November
싱겁다	not salty
싶다	want
싸다	cheap, wrap
싸우다	fight
쌀	rice
쌀밥	cooked rice
쌓이다	stack up, pile up
썰다	chop, cut
쓰기	writing, dictation
쓰다	write, use, wear (glasses)
쓰레기	garbage
쓰이다	be written, be used
씨	seed, Mr. ~
씩	each, every, per
씹다	chew, bite
씻다	wash
아가씨	Miss, daughter
아기	baby, toddler
아까	earlier, while ago
아내	wife
아뇨	no
아니다	no
아니오	no
아니요	no
아들	son
아랍어	Arabic
아래	bottom, under
아름답다	beautiful
아마	maybe, perhaps
아무	any
아버님	father
아버지	father
아빠	dad
아시아	Asia
아이	child
아이스크림	ice cream
아저씨	uncle, mister
아주	very, completely
아주머니	old lady, madame, aunt
아줌마	old lady, madame, aunt
아직	yet, still
아침	morning, breakfast
아침밥	breakfast
아침식사	breakfast
아파트	apartment, mansion
아프다	painful, sick
아프리카	Africa
아홉	9
아흔	90
악기	musical instrument
안	within, not ~
안경	glasses
안내하다	guide, invite
안녕하세요	hi, hello
안녕하십니까	hello
안다	embrace, cradle
안전하다	safe
앉다	sit
알다	know
알리다	inform
알맞다	fit, appropriate
알았습니다	I understood.
앞	front, previous
애	child
액세서리	accessory
야구	baseball
야채	vegetable
약	about, medicine
약간	slightly, a little
약국	pharmacy
약사	pharmacist
약속	appointment, promise
얇다	thin
양	amount, sheep
양말	socks
양복	suit
양식	form, western style
양파	onion
얘기하다	talk
어깨	shoulder
어느	which, how
어둡다	dark
어디	where
어떤	which, what
어떻게	how
어떻다	how
어떻습니까?	How is it?
어렵다	difficult
어른	adult
어리다	young
어린이	child
어머	oh, well
어머니	mother
어머님	mother
어서	hurry, quickly
어울리다	look good on, befit
어저께	yesterday
어제	yesterday
어젯밤	last night
언니	sister (as seen from the younger sister)
언제	when
언제나	always, anytime
얼굴	face
얼마나	how much
얼음	ice
엄마	mom
없다	none, no, not
없이	without
에어컨	air conditioner
엔	yen
엘리베이터	elevator
여권	passport
여기	here
여기저기	here and there
여덟	8
여동생	younger sister
여든	80
여러	various, many
여러가지	several, various
여러분	everyone, ladies and gentlemen
여름	summer
여보세요	hello
여섯	6
여자	woman
여학생	female student
여행	travel
여행사	travel agency, travel firm
역	station
역사	history
연락처	contact information
연세	age (honorific form)
연습	practice
연습하다	practice
연예인	celebrity
연필	pencil
연휴	consecutive holidays
열	10
열다	open
열리다	be opened
열쇠	key
열심히	hard, enthusiastic
열차	train
엽서	postcard
영	spirit, zero
영국	The United Kingdom
영상	video
영어	English
영어회화	English conversation
영하	minus, below zero
영화	movie
영화관	movie theater
영화배우	movie star
영화표	movie ticket
옆	side
예	yes
예문	example, model sentence
예쁘다	pretty, beautiful
예순	60
예약	reservation
옛날	a long ago, olden days
오	5
오늘	today
오다	come
오래	long, much
오래간만	after a long time
오래간만입니다	Long time no see.
오랜만	after a long time
오랜만에	after a long time
오랫동안	for a long time
오렌지	orange
오르다	climb
오른쪽	right side, right
오리	duck
오빠	brother (as seen from the younger sister)
오십	50
오월	May
오이	cucumber
오전	morning, a.m.
오징어	squid
오후	afternoon
올라가다	go up
올라오다	come up
올려놓다	put on, place
올림픽	olympic
올해	this year
옮기다	move, transfer, translate
옷	dress, clothes
옷가게	clothing store
옷장	closet
와이셔츠	shirt
왜	why
왜냐하면	because
외국	foreign country
외국어	foreign language
외국인	foreigner
외롭다	lonely
외삼촌	maternal uncle
외숙모	maternal aunt
외출하다	go out
외할머니	maternal grandmother
외할아버지	maternal grandfather
왼쪽	left
요금	fee
요르단	Jordan
요리	cooking, cuisine
요일	day of the week
요즘	nowadays, around this time, lately
우리	we, us
우리나라	our country, South Korea
우산	umbrella
우선	first
우유	milk
우체국	post office
우표	stamp
운동	exercise
운동복	sportswear, gym clothes
운동선수	athlete
운동장	playground, athletic field
운동하다	exercise
운동화	sports shoes
운전하다	drive
울다	cry
울리다	make cry, chime
움직이다	move
웃기다	funny, make someone laugh
웃다	laugh
원	won (currency units of Korea)
원피스	one-piece dress
원하다	want, wish, desire
월	month
월급	monthly salary
월드컵	world cup
월세	monthly rent
월요일	Monday
웬일	for some reason, What was it?
위	top, up
위치	location, position
위하다	for, in favor of, for the sake of
위험하다	dangerous
유럽	Europe
유리	glass
유명하다	famous
유월	June
유학	study abroad
유학생	foreign student, international student
유행	trend
육	6
육십	60
은행	bank
은행원	bank clerk
음료수	drink, soft drink
음반	record
음식	food, cooking
음악	music
음악가	musician
응	Yeah (answer)
의미	meaning
의사	doctor
의자	chair
이	this, tooth, 2
이거	this
이것	this
이곳	this place, here
이따가	later
이런	this, such ~
이렇게	like this, so, in this way
이렇다	like this
이름	name
이메일	e-mail
이모	maternal aunt
이모부	maternal uncle
이번	this time
이분	this person
이사	move, moving
이상	more than, strange
이상하다	strange, funny, weird
이십	20
이야기	story
이야기하다	talk
이용	usage
이용하다	use
이월	February
이유	reason
이제	now
이집트	Egypt
이쪽	this way, here, this person
이틀	two days
이해	understanding
이해하다	understand
인	sign, ~ person(s)
인구	population
인기	popularity
인기스타	popular star
인도	India
인사	greetings
인사하다	greet
인삼	ginseng
인상	impression
인천	Incheon
인터넷	internet
인터뷰하다	interview
인형	doll
일	work, 1, day
일곱	7
일기	diary
일기예보	weather forecast
일본	Japan
일본드라마	Japanese drama
일본말	Japanese language
일본사람	Japanese people
일본어	Japanese language
일본요리	Japanese food
일상생활	everyday life
일식	Japanese style, Japanese food
일어나다	rise, stand, occur
일어서다	get up, stand up
일요일	Sunday
일월	January
일주일	one week
일찍	early
일하다	work
일흔	70
읽기	reading
읽다	read
잃다	lose
잃어버리다	lose
입	mouth
입구	entrance
입다	put on, wear
입원하다	hospitalize
입학	admission
있다	have, there
잊다	forget
잊어버리다	forget
자	character, Here we go.
자기	myself, own
자다	sleep
자동차	car, automobile
자동차회사	car company
자료	material, document
자르다	cut
자리	seat, location
자신	myself, own
자연	nature
자유	freedom
자장면	Jajangmyeon
자전거	bicycle
자주	often
작년	last year
작다	small
작은아버지	uncle
작은어머니	aunt
잔	glass, ~ cup(s)
잔치	party, feast
잘	well
잘못	mistake
잘생기다	handsome
잘하다	do well, good at
잠	slumbers, sleep
잠깐	for a while, a little
잠시	for a bit, for a while, a little
잠자다	sleep, go to bed
잡다	catch, grab, hold
잡수시다	eat (honorific form)
잡지	magazine
장	~ chapter(s), ~ sheet(s)
장갑	gloves
장마	rainy season
장마철	rainy season
장미	rose
장소	place
장점	advantage
재료	material
재미없다	not funny, uninteresting
재미있다	interesting
재킷	jacket
저	that
저거	that
저것	that
저곳	over there
저기	there, over there
저녁	dinner, evening, night
저녁식사	dinner
저렇게	like that, in that way
저분	that person
저쪽	there, over there
저희	we
적	enemy
적다	be few, write down
전	all, before
전공	major
전기자동차	electric car
전자사전	electronic dictionary
전하다	tell
전혀	not at all
전화	telephone
전화기	telephone
전화번호	phone number
절	~ section(s), temple
절대	never, absolutely
젊다	young
점	point
점수	score, point
점심	lunch
점심시간	lunchtime
점심식사	lunch
점원	clerk
점퍼	jacket
젓가락	chopsticks
정거장	station, depot
정도	degree
정류장	station, bus stop
정리하다	straighten out, organize
정말	really, truly
정문	front door, main gate
정보	information
정하다	choose, establish
제가	I
제목	title
제일	most
제주도	Jeju Island
조금	a little
조사하다	investigate
조선	shipbuilding, Korea
조선말	Korean language
조선어	Korean language
조심하다	be careful, warn
조용하다	silent, quiet
조용히	quietly
조카	nephew
졸업	graduation
졸업하다	graduate
좀	a little
좀더	a little more
좁다	narrow
종로	Jong-ro
종류	kind, type
종업원	employee
종이	paper
종일	all day
좋다	good
좋아하다	like
죄송하다	sorry
주	week
주다	give
주로	mainly
주말	weekend
주머니	pocket, pouch
주무시다	sleep, rest
주문하다	order
주변	around
주부	housewife
주사	injection
주소	address
주스	juice
주위	around
주인	owner
주차장	parking lot
주차하다	park
주황색	orange color
죽	bamboo, porridge
죽다	die
준비	preparation
준비하다	prepare
줄	line, column, string
줄다	shrink, decrease
중	medium, during
중국	China
중국어	Chinese
중국집	Chinese restaurant
중식	Chinese cuisine
중심	center
중요	importance
중요하다	important
중학교	middle school, Junior high school
중학생	middle school student
즐거워하다	have fun
즐겁다	fun, be pleasant
즐기다	enjoy, have fun
증세	symptom, medical condition
지각	tardy, being late
지갑	wallet
지금	now
지나다	pass by
지난달	last month
지난번	last time
지난주	last week
지내다	stay, spend, live
지다	lose
지도	map
지방	fat, region
지우개	eraser
지키다	protect
지하	underground
지하도	underpass
지하철	subway
지하철역	subway station
직업	job, profession
직원	employee, staff
직장	workplace
직접	directly, direct
진달래	azalea
질	quality
질문	question
질문하다	ask a question
짐	load, baggage
집	house, shop
짓다	build, create
짜다	salty, make (the plan)
짜리	a value (won coin)
짧다	short
쪽	side, page
쯤	about, around ~
찌개	stew, soup
찍다	pierce, take (a photo), press
차	car, tea
차갑다	cold
차다	kick
차리다	prepare, arrange
착하다	be good, friendly
참	really, very
창문	window
찾다	find, visit
찾아가다	go to visit
찾아오다	come to visit
채소	vegetable
책	book
책방	bookstore
책상	desk
책임	responsibility
책장	bookshelf
처음	first, for the first time
처음 뵙겠습니다	Nice to meet you.
천	1000
천천히	slowly
철	iron, season
첫	first
첫째	first
청바지	blue jeans
청소기	vacuum cleaner
청소하다	sweep, clean
초	~second(s)
초대하다	invite
초등학교	elementary school
초등학생	elementary student
초록색	green color
초콜릿	chocolate
촬영하다	take a picture
최고	best, the highest
추다	dance
추석	Chusoku (Korean Thanksgiving Day)
추억	memory
축구	football, soccer
축제	festival
축하	celebration
축하하다	celebrate
축하합니다	congratulations
출구	exit
출근하다	go to work
출발	start, departure
출발하다	depart
출장	business trip
춤	dance
춤추다	dance
춥다	cold
취미	hobby
취소하다	cancel
취직하다	get a job
층	layer, ~ floor
치과	dentist, dentistry
치료하다	treat
치마	skirt
치약	toothpaste
친구	friend
친절하다	be kind
친척	relative
친하다	close, familiar
칠	7
칠십	70
칠월	July
칠판	blackboard
침대	bed
칫솔	toothbrush
카드	card
카레	curry
카메라	camera
카페	cafe, coffee shops
칼	knife, cutlery, swords
캐나다	Canada
커피	coffee
커피숍	coffee shop
컴퓨터	computer, PC
컵	cup
케이크	cake
켜다	turn on (the light, the power, etc.)
코	nose
코트	coat
코피	nosebleed
콜라	Coke
콧노래	humming
콧물	snot, nasal discharge
콩	bean, soy
크기	size
크다	big, large
크리스마스	Christmas
큰아버지	uncle
큰어머니	aunt
키	key, height
킬로그램	kilogram
킬로미터	kilometer
타다	ride, get on
타월	towel
탁구	table tennis
태국	Thailand
태권도	Taekwondo
태어나다	be born
태풍	typhoon
택시	taxi
탤런트	entertainers
터미널	terminal
테니스	tennis
테이블	table
텔레비전	TV
토마토	tomato
토요일	Saturday
통	barrel, ~ package(s)
통장	bank book, (deposit) passbook
통하다	pass, lead
퇴근하다	leave the office
특별히	especially
특징	characteristic, feature
특히	especially, in particular
틀다	turn on (the switch)
틀리다	wrong
티셔츠	t-shirt
팀	team
파	wave, green onion
파란색	blue color
파랗다	blue
파티	party
팔	8
팔다	sell
팔리다	sell, be sold
팔십	80
팔월	August
패션	fashion
퍼센트	percent
페이지	page
펜	pen
펴다	spread, stretch
편	side, episode
편지	letter
편하다	comfortable, easy, convenient
평양	Pyongyang
평일	weekday
포도	grape
포장	packing
표	table, ticket
표현	expression
푹	deeply
풀	pool, grass
풀다	solve
프랑스	France
프로그램	program
프린트	print
피	blood
피곤하다	tired
피다	bloom
피아노	piano
피우다	smoke, bloom
피자	pizza
필름	film
필요	necessity
필요하다	need
필통	pencil case
하나	1
하늘	sky
하늘색	sky blue, light blue
하다	do, say
하루	one day
하숙	boarding house, lodging house
하숙집	boarding house, lodging house
하얀색	white color
하얗다	white
하지만	but, however
학	crane
학교	school
학기	semester
학년	grade, school year
학생	student
학생증	student ID card
학원	academy, school
한	one, one of the ~
한강	Han River, Hangang
한국	Korea
