가게	store, shop
소수	minority, a small number
소스	sauce
소심하다	to be timid, to be cowardly
소용	way of use
소용없다	useless
소원	wish
소음	noise
소주	soju, a Korean liquor
소중하다	to be important
소중히	valuably, carefully
소화	digestion
속다	to be tricked
속담	proverb
속도	speed
속도위반	speed violation
속력	speed
속상하다	to be annoying, to be regretful, to be sad
속옷	underwear
속이다	to deceive
손바닥	palm
손발	hands and legs
손쉽다	to be easy
손자	grandson
손잡이	handle, rail
손질	trimming, repair
솔직하다	to be honest
솔직히	honestly, frankly
솜씨	skill, tricks
송금	money transfer
쇠	iron
쇠고기	beef
쇼	show
쇼핑몰	shopping mall
쇼핑백	shopping bag
쇼핑센터	shopping center
수거	pickup, collection
수고	hardship, hard work
수단	means, method
수도꼭지	water faucet
수량	quantity, amount
수료식	completion ceremony
수리	repair
수리비	repair cost
수면	sleep
수면제	sleeping pills
수명	lifespan
수산물	seafood
수상	prime minister
수선	repair (clothes)
수선하다	to repair (clothes)
수수료	commission, fee, charge
수입	import, income
수정	revision, crystal
수준	level
수집	collection
수출	export
수표	(money) check
수학여행	school excursion
숙녀복	women's clothing
숙박	lodging, accomodating
숙박비	accommodation fee
숙소	accommodation
숙이다	to get low, to bend low
순간	moment
순두부찌개	Sundubu soup
술자리	drinking party
술잔	glasses, cup
술집	bar
숨기다	to hide (something)
숨다	to hide
숫자	numbers
숲	forest
스님	buddhist monk
스스로	by oneself
스캐너	scanner
스타일	style
스티커	stickers
스프	soup
스피커	speaker
슬리퍼	slipper
슬픔	sorrow, sadness
습기	moisture
습도	humidity
승강기	elevator
승객	passenger
승리	victory
승용차	passenger car
승진	promotion
승차	riding, boarding
시각	visual sense
시대	era, generation
시도	attempt, trial
시력	sight
시리다	to feel a chill, to be painfully cold
시부모님	parent-in-law
시스템	system
시아버지	father-in-law
시어머니	mother-in-law
시외버스	intercity bus
시인	poet
시집	poetry collection, marriage (for women)
시집가다	to get married (for women)
시청각실	multimedia room
시청자	audience, viewer
시합	competition, match
시험공부	studying for an exam
식	formula, method
식구	familly
식료품	grocery
식물	plant
식물원	botanical garden
식비	food expenses
식생활	diet
식습관	eating habits
식욕	appetite
식용유	cooking oil
식초	vinegar
식품	food
식후	after a meal
신고	report
신기다	to make someone wear (shoe)
신기술	new technology
신기하다	to be mysterious, to be amazing, to be marvelous
신나다	to be excited, to have fun
신도시	new city
신랑	groom
신랑감	groom candidate
신문사	newspaper company
신문지	newspaper
신부	bride, father (christianity)
신분증	identification document
신상품	new item
신선하다	to be fresh
신세대	new generation
신용	credit, trust
신입생	freshmen
신제품	new product
신청자	applicant
신체	body
신형	new model
신호	signal
신혼	newly married
신혼부부	newlyweds, newly-married couple
신혼여행	honeymoon
싣다	to put on, to pile on
실	yarn, thread
실내	indoor
실력	ability
실망	disappointment
실시	implementation
실용적	being practical
실은	in fact, actually
실제	in fact, actually
실제로	in fact, actually
실종	disappearance, missing
실종자	missing person
실천	(put into) practice, action
실컷	as much as one wants
실크	silk
실패	failure
실험	experiment
실험실	laboratory
싫증	to get sick of, to get tired of
심각하다	to be serious
심다	to plant
심리학	psychology
심리학자	psychologist
심부름	errand
심심하다	to be bored
심장	heart
심장병	heart disease
싱싱하다	to be fresh, to be lively
싱크대	sink
싸구려	cheap thing
싸움	fight
쌀쌀하다	to be chilly
쌍둥이	twins
쌓다	to stack, to build
쏘다	to shoot
쏟다	to spill
쏟아지다	to spill, to pour, to fall heavily
쑥스럽다	to be shy
쓰러지다	to fall, to collapse
쓰레기통	trash can
쓸데없다	to be needless, to be useless
쓸데없이	uselessly, unreasonably
쓸쓸하다	to be lonely
씌우다	to cover
씨름	Sireum, Korean Sumo
씩씩하다	to be reliable, to be strong
아깝다	to be regrettable, to be precious
아끼다	to save, to be frugal
아나운서	announcer
아니	no
아동	child
아랫사람	one's junior, one's subordinate
아르바이트	part-time job
아리랑	Arirang (Korean traditional song)
아무것	any, what
아무래도	anyhow, whatever
아무런	any sort of, in any way
아무리	no matter how
아무튼	anyway
아쉬움	frustration, regret
아쉽다	to be unsatisfied, to be sorry
아이디	username, ID
아이디어	idea
아침저녁	morning and evening
아픔	pain
악몽	nightmare
악수	handshake
안개	fog
안과	ophthalmology
안내문	announcement, notice
안내서	guidebook, handbook
안내소	information office
안되다	to fail, to not go well
안방	master's bedroom
안부	news, regards
안색	complexion
안심	relief
안약	eye drop
안전선	safety line
안주	snack (served with alcoholic beverages)
안쪽	inside
안타깝다	to feel sorry
앉히다	to let/make someone sit down
알	egg, ball
알레르기	allergy
알아듣다	to understand
알아보다	to recognize
알아주다	to admit, to accept
알약	tablet medicine
알코올	alcohol
암	cancer
앞날	future
앞두다	to have something ahead
앞뒤	before and after
앞머리	(hair) bangs
애기	baby
애완견	pet dog
애완동물	pets
애인	lover
애정	love, affection
애프터서비스	after-sales service
액자	picture frame
앨범	album
야간	nighttime, during night
야경	night view
야근	overwork
야단맞다	to be scolded
야단치다	to scold
야외	outdoors
야유회	picnic
약하다	to be weak
약혼	engagement
약혼자	fiance
얌전하다	to be calm, to be gentle
양념	condiments, seasoning, spice
양로원	nursing home
양반	Yangban, nobility
양보	yielding, concession
양쪽	both
얘	this person
어기다	to violate
어느새	already, so soon
어떠하다	to be such a one's thoughts
어떡하다	to be such a one's thoughts
어려움	difficulty, hardship
어린아이	children
어린이날	Children's day
어버이날	Parent's day
어색하다	to be awkward
어쨌든	anyway
어쩌다가	coincidentally
어쩌면	maybe, possibly
어쩐지	somehow
어차피	after all, any way
어학	language
어학연수	language training
어휘	vocabulary
억	billion
억양	accent
억지로	forcibly
언론	mass media
언론인	journalist
언어	language
언젠가	someday
얻다	to obtain
얻어먹다	to get treated
얼다	to freeze
얼룩	stain
얼른	to be fast, to be quick
엄격하다	to be strict
엄청나다	to be tremendous, to be enormous
업무	work, job
없애다	to get rid of, to dispose of
엉덩이	butt
엉뚱하다	to be strange, to be bizarre
엉망	wreck, mess, ruin
엊그제	a few days ago
에너지	energy
에이즈	aids
엔진	engine
엠티	membership training
여가	leisure
여고생	high school girl
여관	hotel, inn
여드름	acne
여럿	many
여름날	summer day
여성	female
여성복	women's clothing
여유	spare, margin
여전히	just as it was before
여쭈다	to ask politely
여행비	travel expenses
여행자	traveler
여행지	travel destination
역사적	being historical
역시	as expected, after all
역할	role
연결	connection
연구	research
연구소	research institute
연구실	research laboratory
연극	theater
연기	delay, postponement, smoke, acting
연도	year
연락	communication
연말	end of the year
연말연시	new years holidays
연상	seniority, elder
연속	continuity
연속극	serial drama, soap opera
연수	training
연애	romance, courtship
연애결혼	love marriage
연인	couple
연장	extension
연주	performance
연주회	concert
연하	being a younger, younger person
연하다	to be soft, to supple
연회비	annual fee
열대야	a very hot night
열람실	reading room
열흘	10 days
염색	dyeing
엿	(Korean traditional) candy
영수증	receipt
영양	nutrition
영양가	nutritional value
영양분	nutrients
영양소	nutrients
영양제	nutritional supplement
영업	sales
영업부	sales department
영역	area
영원히	eternally, everlastingly, forever
영향	impact
영화감독	film director
영화제	film festival
옆집	a neighbor, the house next door
예금	(bank) deposit
예매	reservation, booking
예방	prevention
예보	forecast
예상	expectation
예술	art
예습	pre-view, preparation
예식장	wedding hall
예의	manner, etiquette
예전	past, old days
예절	manner, etiquette
예정	plans
예측	forecast
옛	old, ancient
옛말	old story, old speech, old tale
오가다	to come and go
오늘날	today
오락	entertainment
오래되다	to be old
오랜	long time
오르내리다	to go up and down
오른손	right hand
오리엔테이션	orientation
오염	pollution
오토바이	motorcycle
오페라	opera
오피스텔	officetel(office + hotel)
오해	misunderstanding
오히려	rather
온	all~, entire
온갖	various kinds of
온도	temperature
온돌	Ondol (Korean traditional heating system)
온돌방	room with Ondol
온라인	online
온몸	whole-body
온천	hot spring
온천욕	hot spring bath
온통	all, entire
올리다	to raise, to post
올림픽	olympic
올바르다	to be proper, to be honest
옳다	to be correct
옷차림	dress, clothing
와인	wine
완성	completion
완전히	completely
왕	king
왕복	round trip
왕비	queen
왠지	for some reason
외가	maternal
외과	surgery department
외교관	diplomat
외동딸	only daughter
외동아들	only son
외래어	loan word, borrowed word
외로움	loneliness
외모	appearance
외식	eating out
외아들	only son
외우다	to memorize
외치다	to scream, to shout
요가	yoga
요구	request
요구르트	yogurt
요리법	recipe
요리사	chef
요새	recently, these days
요약	summary
요청	request
욕	abusive language
욕실	bathroom
욕심	greed
욕심쟁이	greedy person
용	dragon
용기	courage
용돈	pocket money, allowance
용서	forgiveness
우등상	honor prize
우리말	Korean language
우물	well
우수성	excellence
우승	victory, championship
우아하다	to be graceful
우연	chance, accident
우연히	coincidentally
우울증	depression
우울하다	to be depressed
우정	friendship
우주	space
우주여행	space travel
우편	post
우편물	post mail
우편배달	mail delivery
운	luck
운명	fate
운전기사	driver
운전면허	driver's license
운전자	driver
울보	crybaby
울음	crying, tear
웃어른	superior, senior
웃음	laughter
워낙	very, basically
원고	manuscript
원래	originally
원룸	studio apartment
원리	principle
원서	application
원숭이	monkey
원인	cause
월말	end of month
웨딩드레스	wedding dress
위대하다	to be great
위로	consolation, comfort
위반	violation
윗사람	superior, senior
유난히	outstandingly, especially
유니폼	uniform
유람선	cruise ship
유료	being paid, being charged
유리창	window glass
유머	humor
유명	being famous
유적지	historic site
유창하다	to be fluent
유치원	kindergarten
유쾌하다	to be fun, to be cheerful
유행어	buzzword
육식	being carnivorous
육아	childcare
윷놀이	game of Yut, Yunnori
은	silver
은혜	favor, grace
음력	lunar calendar
음료	beverages, drink
음성	voice
음식물	food and drink
음식점	restaurant
음악회	musical concert
음주	drinking
응급실	emergency room
응답	response, answer
응답자	respondents
응시자	examinee
응원	cheering, support
의견	opinion
의논	consultation, discussion
의류	clothing
의무	obligation
의문	question
의사소통	communication
의상	clothing, costume
의식주	clothing, food, and housing
의심	doubt
의외로	unexpectedly
의욕	motivation
의의	significance, meaning, sense
의지	will
의하다	to be based on
의학	(field of) medicine
의학적	being medical
이것저것	this and that, various, everything
이국적	being exotic, being foreign
이기다	to win
이기적	being selfish
이끌다	to pull, to guide
이내	soon
이다	is
이동	move
이따	later
이때	at this time
이러하다	such, of this kind, of this sort
이런저런	this and that, various
이루다	to accomplish, to achieve, to compose
이루어지다	to be achieved, to be composed of
이름나다	to become famous
이름표	name tag
이리	this way
이리저리	here and there
이마	forehead
이만	this much of, at here
이만큼	this much
이미	already
이미지	image
이민	immigrants
이별	farewell
이불	blanket
이비인후과	otorhinolaryngology, ENT
이삿짐	belongings when moving house
이상형	an ideal type of person
이성	reason, the opposite sex
이어지다	to be connected
이어폰	earphone
이외	except, besides
이용료	usage fee
이용자	user
이웃	neighborhood
이웃집	neighbor
이익	profit
이자	interest
이전	before
이제야	finally now
이하	less than, below
이해력	comprehension, understanding
이해심	compassion, understanding
이혼	divorce
이후	afterward
익숙하다	well-known, familiar
익히다	to boil, to learn
인간	human
인간관계	relationships
인간성	human nature
인간적	being human
인류	human race
인사말	greeting words
인상적	being impressive
인생	life
인쇄	printing
인쇄물	printed papers
인스턴트	instant food
인원	number of people
인정받다	to be recognized, to be accepted
인출기	ATM
인턴사원	intern
인하다	to result from, to be caused by, to be due to
일기장	diary
일단	first of all, firstly
일등	first place
일반	ordinary
일반인	ordinary people
일반적	being ordinary
일부	part
일부러	on purpose
일상	daily life
일상적	being daily
일생	lifetime
일시	temporary
일시불	lump-sum payment
일으키다	to raise, to sit upright
일자리	workplace
일정	schedule
일정하다	to be uniform, to be constant
일출	sunrise
일회용품	disposable product
읽히다	to be read
임산부	pregnant woman
임시	temporary
임신	pregnancy
입금	deposit, payment on account
입맛	appetite
입술	lips
입시	entrance examination
입장	admission
입장권	admission ticket
입장료	admission fee
입학시험	entrance examination
입히다	to dress someone up
잇다	to connect, to tie, to continue
잎	leaf
자격	qualification
자격증	license, certificate
자극적	being provocative, being stimulating
자꾸	frequently
자녀	child
자동	automatic
자라다	to grow up
자랑	boast, brag, showing off
자료실	archive, reference room
자막	subtitles
자매	sisters
자살	suicide
자세하다	to be detailed, to be minute
자세히	in detail
자식	child, kid
자신감	confidence
자연적	being natural
자외선	ultraviolet rays
자원	resource
자음	consonant
자존심	self-esteem, pride
자취	living alone
자판기	vending machine
작가	writer
작곡	composition
작문	essay, writing
작사	writing lyrics
작아지다	to get smaller
작업	work, job, operation
작품	work, piece
잔돈	small money, small change
잔디	grass
잔디밭	grass field
잔뜩	full, much
잔소리	useless talk, idle talk
잔액	balance
잠그다	to lock (a door)
잠기다	to get locked, to submerged
잠들다	to fall asleep
잠옷	pajama
잠자리	dragonfly
잡수다	to eat (honorific)
잡아먹다	to prey on, to feed on
잡채	Japchae (Korean food)
잡히다	to get caught
장가	marriage (of men)
장가가다	to get married (of men)
장기적	being long term
장난	naughty, prank
장난감	toy
장난꾸러기	mischievous kid
장남	eldest son
장녀	eldest daughter
장단점	advantages and disadvantages
장래	future
장례식	funeral
장례식장	funeral hall
장바구니	shopping basket
장사	business
장애	disability
장애인	disabled people
장학	scholarship
장학금	scholarship
재발급	reissue
재산	wealth, property
재작년	two years ago
재주	talent, skills
재즈	jazz
재테크	investment techniques
재학	enrollment
재해	disaster
재혼	remarriage
재활용	recycling
재활용품	recycled goods
쟤	that person
저금	savings
저금통	piggybank
저렴하다	to be cheap
저울	scale (weight)
저장	storage, preservation
저절로	being natural, being automatic
저축	savings
적극적	being enthusiastic, being active
적금	installment savings
적당하다	to be appropriate
적당히	appropriately
적성	aptitude (for)
적어도	at least
적어지다	to get less
적응	adaptation
적절하다	to be suitable
전구	light bulb
전국	nationwide
전국적	being national
전기	electricity
전날	the day before
전달	delivery, conveyance
전동차	subway train
전등	lamp, light
전망	outlook
전문가	expert
전문적	being professional
전문점	specialty shop
전반전	first half
전부	all, entire
전산실	computer room
전세	security deposit system of housing
전셋집	rent house
전시	exhibition
전시회	exhibition
전원	power supply
전자	electron
전자레인지	microwave
전쟁	war
전철	subway, train
전체	entire
전체적	being overall
전통	tradition
전통문화	traditional culture
전통적	being traditional
전화벨	phone bell
절대로	definitely, absolutely
절반	half
절약	saving, frugality
젊은이	young people
젊음	youth
점잖다	to be well-mannered, to be gentle
점점	gradually, slowly
점차	gradually
접다	to fold, to quit
접수	reception
접하다	to encounter, to come into contact
정	affection
정기적	being regularly
정답	correct answer
정말로	really
정보화	informatization
정부	government
정상	normal
정상적	being normal
정성	sincerity, devotion
정성껏	with one's whole heart, elaborately
정신	mind, consciousness
정신없다	to be not in one's right mind
정신없이	hectically, frantically
정신적	being mental
정의	justice
정장	formal clothes, suits
정전	power outage
정지	stop
정직하다	to be honest
정차	stopping
정체	identity
정치	politics
정치가	politician
정치인	politician
정치학	political science
정확하다	to be accurate
정확히	accurately
젖다	to get wet, to get soaked
제공	offer
제대로	properly
제도	system
제때	on time
제발	please
제비	swallow
제사	ancestral rites, memorial service
제시간	on time
제안	suggestion
제자	student, disciple, follower
제자리	original place
제작	production
제출	submission
제품	product
제한	limit, restriction
조개	shellfish
조건	conditions
조교	assistant
조깅	jogging
조르다	to tighten, to pester
조리	cooking
조리법	recipe
조림	braised dish
조만간	sooner or later
조명	lighting, illumination
조미료	seasoning
조상	ancestor
조심	caution, carefulness
조절	adjustment
족발	pig's feet
존경	respect
졸다	to doze
졸리다	to be sleepy
졸업식	graduation ceremony
졸음	sleepiness
좀처럼	easily, anytime soon
좁히다	to narrow, to make something smaller
종교	religion
종이컵	paper cup
종종	from time to time, sometimes
종합	total, comprehensive
좌석	seat
좌우	left and right
좌회전	turn left
주거	residence
주고받다	to exchange
주년	anniversary/annual~
주름	wrinkles
주먹	fist
주문서	purchase order
주민	resident
주방	kitchen
주식회사	corporation
주어지다	to be given
주유소	gas station
주의	caution
주인공	main character
주장	assertion, captain
주제	subject, theme
주택	housing, residence
주택가	residential area
죽음	death
죽이다	to kill
준비물	belongings
줄거리	story, plot
줄무늬	striped pattern
줄어들다	to decrease
줄이다	to reduce, to shrink
줍다	to pick up
중간	middle
중개소	agency
중고	second hand
중고차	second-hand car
중고품	second-hand goods
중급	intermediate
중단	suspension
중부	central part
중소기업	small and medium-sized enterprises
중심지	capital, hub
중앙	central part
중요성	importance
쥐	mouse
즉	that is, which means
즐거움	joy, pleasure
증가	growth, rise
증명서	certificate
증상	symptoms
지겹다	to get tired, to get bored
지구	earth
지나가다	to pass by
지나치다	to be extreme, to be severe
지난해	last year
지루하다	to be boring
지붕	roof
지식	knowledge
지역	area
지옥	hell
지우다	to erase
지원	support
지원자	supporter
지위	status
지저분하다	to be messy, to be dirty
지점	point, branch
지진	earthquake
지출	expense, spending
지치다	to be tired, to be exhausted
지켜보다	to watch, to take care
지퍼	zipper
지휘자	conductor
직선	straight line
직장인	worker
직접적	being direct
직진	going straight
직후	immediately after
진실	truth
진심	sincerity
진짜	really, truly
진찰	medical examination
진통제	painkiller
진하다	to be thick, to be dark
진학	entrance to a higher educational institution
진행	progress
진행자	chairperson
질병	disease
질서	order
질투	jealousy
질환	disease
짐승	beast
집값	house price
집다	to grab
집들이	housewarming party
집세	rent
집안	family
집안일	housework
집주인	landlord
집중	concentration
집중력	concentration
짙다	to be thick, to be dark
짜증	frustration
짝	pair
짝사랑	crush, one side love
짝수	even number
쫓기다	to be chased
쫓다	to chase
쫓아내다	to kick out
쫓아다니다	to chase around
쭉	all the time
찌다	to get fat
찜질	sauna
찜통더위	humid heat
찢다	to break, to tear
찢어지다	to be torn, to be ripped
차라리	rather
차례	order
차분하다	to be calm, to be quiet
차이	difference
차이점	differences
착각	misunderstanding
찬물	cold water
찬성	agreement
참가	participation
참고	reference
참기름	sesame oil
참다	to endure
참석	attendance, participation
참여	participation
참치	tuna
찻집	café, teahouse
창	window
창피	shame, embarrassment
찾아내다	to find out
찾아다니다	to search around
찾아보다	to look for
채널	channel
채식	vegetarian
채식주의자	vegetarian person
채용	recruitment
채우다	to satisfy, to fill in
채팅	online chat
책임지다	to be in charge, to be responsible
챙기다	to pack, to prepare
처녀	virgin
처리	processing
처방	prescription
처방전	prescription
천국	heaven
천사	angel
천장	ceiling
천재	genius, natural disaster
철학	philosophy
첫날	first day
첫눈	first snow
첫사랑	first love
첫인상	first impression
청구서	invoice
청년	youth
청소년	teenager
청첩장	invitation
청혼	marriage proposal
체격	build, frame
체온	body temperature
체육	physical education
체육관	gym
체조	gymnastics
체중	bodyweight
체험	experience
쳐다보다	to stare, to look up
초급	beginner-level
초기	beginning, start
초대장	invitation
초보자	beginner
초청장	invitation
총	gun
총무과	general affairs division
촬영장	studio
촬영지	filming site
최근	recent
최대	maximum
최선	best
최신	latest
최저	minimum
최종	last, final
최초	the first
최후	last, final
추가	adding
추위	cold
추천	recommendation
추천서	letter of recommendation
추첨	drawing lots
추측	guess
출국	leaving a country
출근길	on the way to work
출력	output
출산	giving birth
출산율	birth rate
출생	birth
출석	attendance
출신	origin, affiliation
출입	access, enter
출입국	immigration
출퇴근	commuting
출판사	publishing company
충격	shock, impact
충고	advice
충돌	collision
충분하다	enough
충분히	enough, sufficiently, fully
취업	　　
취업난	unemployment crisis
취침	sleeping, going to bed
취하다	to get drunk
측	~side
치료제	treatment medicine
치수	size, measurement
치우다	to clean up, to remove
치즈	cheese
친어머니	biological mother
친환경	being eco-friendly
침	saliva
침실	bedroom
칭찬	compliment
카네이션	carnation
카세트	cassette
카센터	car repair shop
카페인	caffeine
카펫	carpet
칸	column, blank
칼국수	Korean style noodle
캄캄하다	to be very dark, to be pitch-dark
캠퍼스	campus
캠프	camping
커다랗다	to be extremely big
커지다	to get bigger, to grow
커튼	curtain
커플	couple
컴퓨터실	computer room
켜지다	to light up
코끼리	elephant
코너	corner
코미디	comedy
코미디언	comedian
콘서트	concert
콘센트	electrical outlet, socket
콩나물	bean sprouts
퀴즈	quiz
큰길	main road
큰돈	big money
큰소리	big voice, loud voice
큰일	important matter
클래식	classic
클릭	click
키우다	to nurture, to make it bigger
타입	type
탈	mask, disguise
탈의실	dressing room, fitting room
탈춤	Korean traditional mask dance
탑승구	boarding gate
탕	soup, juice
태도	attitude
태양	sun
태양열	solar heat
태우다	to burn, to bake
택배	delivery
택배비	delivery fee
터지다	to burst, to happen suddenly
털다	to shake off
테이프	tape
텐트	tent
토끼	rabbit
토론	discussion
토하다	to vomit
통계	statistics
통신	communication
통역	interpretation
통일	unification
통증	pain
통지서	notice
통화	phone call
퇴근길	way back from home
퇴원	being discharged from hospital
퇴직	retirement
투표	vote
튀기다	to fry, to bounce
트럭	truck
특기	specialty
특별	being special
특별하다	to be special
특산물	specialty, regional product
튼튼하다	to be durable, to be strong
틀림없다	to be sure enough
틀림없이	definitely
틈	crack, gap
티켓	ticket
팀장	team leader
파다	to dig down, to carve
파마	perm
파일	file
파전	Korean pancake
판매	sale
판매자	seller
팥빙수	Korean style shaved ice
패션쇼	fashion show
패스트푸드	fast food
팩스	fax
팬	fan
퍼지다	to spread
편리	convenience
편식	unbalanced diet
편안하다	to be comfortable
편의점	convenience store
편히	easily
펼치다	to spread
평가	evaluation
평균	average
평등	equal
평범하다	to be ordinary, to be usual, to be common
평생	forever
평소	usual day
평화	peace
포근하다	to be cozy
포기	to give up
포도주	wine
포인트	point
포장지	wrapping paper
폭발	explosion
폭설	heavy snow
폭식	binge eating
폭우	heavy rain
폭포	waterfall
표시	sign, mark
표정	facial expression
표지판	display board
푸르다	to be blue
풀리다	to be untied, to be relieved
풀이	interpretation
품질	quality
풍경	landscape
풍부하다	to be rich, to be abundant
풍선	balloon
프라이팬	frying pan
프로그래머	programmer
프린터	printer
플라스틱	plastic
플러그	plug
피로	fatigue
피부	skin
피부과	dermatology
피부병	skin disease
피서	summer vacation
피아니스트	pianist
피하다	to avoid
피해	damage
피해자	victim
필수	mandatory
필수품	necessities
필요성	necessity
핑계	excuse
하도	too, excessively
하루빨리	as soon as possible, immediately, quickly
하루하루	day by day
하룻밤	one night
하마터면	almost, nearly
하품	yawn
학과	department (at university)
학력	educational background
학문	academic field
학비	tuition fee
학습	learning, study
학자	scholar
학점	grade, credit
한가하다	to be leisurely, to be relaxed
한국학	Korean studies
한글날	Hangul day
한꺼번에	at once, together
한낮	midday
한눈	at a glance
한동안	temporarily, for a while
한두	one or two
한마디	a word
한순간	for a moment
한숨	sigh
한약	acupuncture medicine
한옥	Hanok (traditional Korean architecture)
한우	Korean beef
한의사	doctor of traditional Korean medicine
한정식	Korean set meal
한지	traditional Korean paper
한참	for a long time
한창	at its peak, in bloom
한편	on the other hand
할부	monthly installment plan
할인점	discount store
함부로	thoughtlessly, mindlessly
합격자	successful candidate, winner
합치다	to sum, to match
합하다	to add
항공	flight
항공권	flight ticket
항공기	aircraft
항공료	airfare
항공사	airlines
항공편	flight
해결	solution
해결책	solution
해고	layoff, discharge
해내다	to accomplish, to achieve
해돋이	sunrise
해롭다	to be harmful
해마다	annual, every year
해물	seafood
해보다	to try, to attempt
해산물	seafood
해소	solution
해소법	solution
해수욕	sea bathing
해수욕장	beach
해열제	antipyretic
핸드백	handbag
햇곡식	new grain
햇볕	sunlight
행동	action, behavior
행사장	event hall
행운	luck, fortune
향	scent
향기	fragrance
향수	perfume, nostalgia
향하다	to head
허락	permission
허리띠	belt, waistband
험하다	to be rough
헤매다	to wander, to get lost
헤어스타일	hairstyle
헤어지다	to break up, to leave
헤엄치다	to swim
헬멧	helmet
헬스클럽	sports club, gym
현관	entrance
현관문	entrance door
현대	present-day
현대식	modern style
현대인	modern people
현대적	being modern
현모양처	wise mother and good wife
현실	reality
현실적	being realistic
현장	on-site
형용사	adjective
형태	form
형편	situation, circumstances
혜택	grace, blessing
호감	favor
호기심	curiosity
호수	lake
호칭	name
혹시	maybe
혹은	or
혼나다	to get angry
혼내다	to scold
혼잡	confusion, mess, disorder
홀수	odd number
홍보	public relations
홍보물	promotion materials
홍수	flood
화려하다	to be fancy
화면	screen
화물	cargo
화분	flowerpot
화산	volcano
화상	burn, scald
화장지	toilet paper
화재	fire
화창하다	to be fine, to be clear, to be bright
화해	reconciliation, settlement, compromise
확실하다	to be sure
환경	environment
환기	ventilation
환불	refund
환상적	being fantastic
환송회	farewell party
환영회	welcome party
환율	exchange rate
환전	currency exchange
환절기	seasonal change
활동	activities
활동적	being active
활발하다	to be active
활용	utilization
활짝	in full bloom
황당하다	to be absurd, to be nonsensical, to be ridiculous
황사	yellow dust, asian dust
～회	~ times
회갑	one's 60th birthday
회복	recovery
회비	membership fee
회식	group dinner, drinking party
회원	member
회의장	conference hall
회장	president
횟수	number of times
효과	effect
효과적	being effective
효녀	devoted daughter
효율적	being efficient
후문	back gate
후반	later half
후반전	second half
후보	candidate
후식	dessert
후회	regret
훈련	training
훌륭하다	to be great, to be excellent
훔치다	to steal
훨씬	much, far, a lot
휘발유	gasoline
휴가철	holiday season
휴게실	break-out room, lounge
휴대	mobile
휴대폰	mobile phone
휴식	rest
휴양지	resort
휴학	leave of absence (from school)
흐르다	to flow, to run
흔들다	to shake
흔들리다	to wave, to shake
흔하다	to be common
흔히	commonly, often
흘리다	to spill, to shed
흙	soil
흡연	smoking
흥미	interest
흥분	excitement
희다	to be white
희망	hope
희망자	applicant
희생자	victim
힘껏	with all one's strength
